"ID","Name","LongName","Parent","Component","Path","Line","Column","EndLine","EndColumn","WarningBlocker","WarningCritical","WarningInfo","WarningMajor","WarningMinor","Anti Pattern","Bad Practice Rules","Best Practice Rules","Code Style Rules","Correctness Rules","Design Rules","Design Pattern","Documentation Rules","Dodgy Code Rules","Error Prone Rules","Experimental Rules","Internationalization Rules","Multithreaded Correctness Rules","Multithreading Rules","Optimization Rules","Performance Rules","Security Code Guideline Rules","Security Rules","Vulnerability Rules"
"L10147","applier","org.junit.jupiter.engine.DiscoveryFilterApplierTests.applier;Lorg/junit/jupiter/engine/DiscoveryFilterApplier;","L10144","L103","C:\Users\Sokaina\Downloads\Versiones-Junit5\junit5-r5.0.2\junit-jupiter-engine\src\test\java\org\junit\jupiter\engine\DiscoveryFilterApplierTests.java","37","2","37","64","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L10399","jupiter","org.junit.jupiter.engine.JupiterTestEngineBasicTests.jupiter;Lorg/junit/jupiter/engine/JupiterTestEngine;","L10396","L103","C:\Users\Sokaina\Downloads\Versiones-Junit5\junit5-r5.0.2\junit-jupiter-engine\src\test\java\org\junit\jupiter\engine\JupiterTestEngineBasicTests.java","25","2","25","68","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L10411","RESOLVER","org.junit.jupiter.engine.MultipleTestableAnnotationsTests.RESOLVER;Ljava/lang/String;","L10409","L103","C:\Users\Sokaina\Downloads\Versiones-Junit5\junit5-r5.0.2\junit-jupiter-engine\src\test\java\org\junit\jupiter\engine\MultipleTestableAnnotationsTests.java","48","2","48","91","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L10664","callSequence","org.junit.jupiter.engine.TestCaseWithInheritanceTests.callSequence;Ljava/util/List;","L10661","L103","C:\Users\Sokaina\Downloads\Versiones-Junit5\junit5-r5.0.2\junit-jupiter-engine\src\test\java\org\junit\jupiter\engine\TestCaseWithInheritanceTests.java","39","2","39","69","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L10737","KEY","org.junit.jupiter.engine.TestInstanceLifecycleConfigurationTests.KEY;Ljava/lang/String;","L10734","L103","C:\Users\Sokaina\Downloads\Versiones-Junit5\junit5-r5.0.2\junit-jupiter-engine\src\test\java\org\junit\jupiter\engine\TestInstanceLifecycleConfigurationTests.java","51","2","51","92","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L10738","methodsInvoked","org.junit.jupiter.engine.TestInstanceLifecycleConfigurationTests.methodsInvoked;Ljava/util/List;","L10734","L103","C:\Users\Sokaina\Downloads\Versiones-Junit5\junit5-r5.0.2\junit-jupiter-engine\src\test\java\org\junit\jupiter\engine\TestInstanceLifecycleConfigurationTests.java","53","2","53","71","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L10812","instanceMap","org.junit.jupiter.engine.TestInstanceLifecycleTests.instanceMap;Ljava/util/Map;","L10809","L103","C:\Users\Sokaina\Downloads\Versiones-Junit5\junit5-r5.0.2\junit-jupiter-engine\src\test\java\org\junit\jupiter\engine\TestInstanceLifecycleTests.java","70","2","70","79","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L10822","testsInvoked","org.junit.jupiter.engine.TestInstanceLifecycleTests.testsInvoked;Ljava/util/List;","L10809","L103","C:\Users\Sokaina\Downloads\Versiones-Junit5\junit5-r5.0.2\junit-jupiter-engine\src\test\java\org\junit\jupiter\engine\TestInstanceLifecycleTests.java","71","2","71","69","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L10823","instanceCount","org.junit.jupiter.engine.TestInstanceLifecycleTests.instanceCount;Ljava/util/Map;","L10809","L103","C:\Users\Sokaina\Downloads\Versiones-Junit5\junit5-r5.0.2\junit-jupiter-engine\src\test\java\org\junit\jupiter\engine\TestInstanceLifecycleTests.java","72","2","72","84","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L10830","beforeAllCount","org.junit.jupiter.engine.TestInstanceLifecycleTests.beforeAllCount;I","L10809","L103","C:\Users\Sokaina\Downloads\Versiones-Junit5\junit5-r5.0.2\junit-jupiter-engine\src\test\java\org\junit\jupiter\engine\TestInstanceLifecycleTests.java","74","2","74","36","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L10831","afterAllCount","org.junit.jupiter.engine.TestInstanceLifecycleTests.afterAllCount;I","L10809","L103","C:\Users\Sokaina\Downloads\Versiones-Junit5\junit5-r5.0.2\junit-jupiter-engine\src\test\java\org\junit\jupiter\engine\TestInstanceLifecycleTests.java","75","2","75","35","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L10832","beforeEachCount","org.junit.jupiter.engine.TestInstanceLifecycleTests.beforeEachCount;I","L10809","L103","C:\Users\Sokaina\Downloads\Versiones-Junit5\junit5-r5.0.2\junit-jupiter-engine\src\test\java\org\junit\jupiter\engine\TestInstanceLifecycleTests.java","76","2","76","37","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L10833","afterEachCount","org.junit.jupiter.engine.TestInstanceLifecycleTests.afterEachCount;I","L10809","L103","C:\Users\Sokaina\Downloads\Versiones-Junit5\junit5-r5.0.2\junit-jupiter-engine\src\test\java\org\junit\jupiter\engine\TestInstanceLifecycleTests.java","77","2","77","36","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L12458","formatter","org.junit.jupiter.params.ParameterizedTestInvocationContext.formatter;Lorg/junit/jupiter/params/ParameterizedTestNameFormatter;","L12437","L103","C:\Users\Sokaina\Downloads\Versiones-Junit5\junit5-r5.0.2\junit-jupiter-params\src\main\java\org\junit\jupiter\params\ParameterizedTestInvocationContext.java","25","2","25","57","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L12459","arguments","org.junit.jupiter.params.ParameterizedTestInvocationContext.arguments;[Ljava/lang/Object;","L12437","L103","C:\Users\Sokaina\Downloads\Versiones-Junit5\junit5-r5.0.2\junit-jupiter-params\src\main\java\org\junit\jupiter\params\ParameterizedTestInvocationContext.java","26","2","26","35","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L12475","namePattern","org.junit.jupiter.params.ParameterizedTestNameFormatter.namePattern;Ljava/lang/String;","L12384","L103","C:\Users\Sokaina\Downloads\Versiones-Junit5\junit5-r5.0.2\junit-jupiter-params\src\main\java\org\junit\jupiter\params\ParameterizedTestNameFormatter.java","27","2","27","35","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L12500","arguments","org.junit.jupiter.params.ParameterizedTestParameterResolver.arguments;[Ljava/lang/Object;","L12469","L103","C:\Users\Sokaina\Downloads\Versiones-Junit5\junit5-r5.0.2\junit-jupiter-params\src\main\java\org\junit\jupiter\params\ParameterizedTestParameterResolver.java","34","2","34","35","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L13227","parameterizedTestExtension","org.junit.jupiter.params.ParameterizedTestExtensionTests.parameterizedTestExtension;Lorg/junit/jupiter/params/ParameterizedTestExtension;","L13225","L103","C:\Users\Sokaina\Downloads\Versiones-Junit5\junit5-r5.0.2\junit-jupiter-params\src\test\java\org\junit\jupiter\params\ParameterizedTestExtensionTests.java","39","2","39","91","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
