"ID","Name","LongName","Parent","Component","CC","CCL","CCO","CI","CLC","CLLC","LDC","LLDC","AD","CD","CLOC","PDA","PUA","TAD","TCD","TCLOC","TPDA","TPUA","LLOC","LOC","NA","NCL","NEN","NG","NIN","NM","NPA","NPKG","NPM","NS","TLLOC","TLOC","TNA","TNCL","TNDI","TNEN","TNFI","TNG","TNIN","TNM","TNOS","TNPA","TNPCL","TNPEN","TNPIN","TNPKG","TNPM","TNS","WarningBlocker","WarningCritical","WarningInfo","WarningMajor","WarningMinor","Anti Pattern","Bad Practice Rules","Best Practice Rules","Code Style Rules","Correctness Rules","Design Rules","Design Pattern","Documentation Rules","Dodgy Code Rules","Error Prone Rules","Experimental Rules","Internationalization Rules","Multithreaded Correctness Rules","Multithreading Rules","Optimization Rules","Performance Rules","Runtime Rules","Security Code Guideline Rules","Security Rules","Vulnerability Rules"
"L1184","junit","org.junit","L1183","L103","0.0836026","132","431","318","0","0","0","0","0","0.189474","18","0","0","0.607044","0.290974","17496","879","569","77","107","1","1","0","0","0","3","0","4","0","0","42633","71900","915","1002","222","13","650","548","96","5094","13472","90","245","9","61","63","1660","39","0","32","15299","1062","3218","259","0","2351","785","0","452","0","244","0","414","0","0","0","1","0","65","0","0","0","0"
"L1192","jupiter","org.junit.jupiter","L1184","L103","0.0860033","69","238","160","0","0","0","0","1","0.675676","25","1","0","0.670932","0.279808","8237","367","180","12","41","0","1","0","0","0","0","0","5","0","0","21201","35128","356","521","92","4","313","173","43","2509","6415","33","96","2","31","23","638","8","0","11","7689","462","1627","90","0","1187","405","0","91","0","127","0","227","0","0","0","0","0","63","0","0","0","0"
"L13488","platform","org.junit.platform","L1184","L103","0.0867081","56","172","137","0","0","0","0","1","0.666667","24","1","0","0.605469","0.305951","7881","465","303","12","40","0","1","0","0","0","0","0","7","0","0","17878","30879","487","378","116","9","247","353","47","2212","6032","50","92","7","26","27","898","31","0","19","6524","533","1412","163","0","1049","307","0","322","0","112","0","173","0","0","0","1","0","0","0","0","0","0"
"L24105","vintage","org.junit.vintage","L1184","L103","0.0608123","9","21","21","0.0477623","0.0622278","254","200","0","0","0","0","0","0.353383","0.279372","1246","47","86","0","0","0","0","0","0","0","0","0","1","0","0","3214","5318","64","96","30","0","82","19","5","327","928","7","57","0","4","8","119","0","0","0","988","65","163","6","0","112","59","0","39","0","5","0","13","0","0","0","0","0","0","0","0","0","0"
"L25735","api","org.junit.api","L1184","L103","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.302387","114","0","0","0","0","0","0","0","0","0","0","0","1","0","0","263","468","7","6","14","0","7","3","1","43","75","0","0","0","0","1","5","0","0","1","89","1","13","0","0","1","11","0","0","0","0","0","1","0","0","0","0","0","2","0","0","0","0"
"L1201","api","org.junit.jupiter.api","L1192","L103","0.107115","33","148","70","0","0","0","0","0.988235","0.295254","2538","168","2","0.928839","0.365759","3760","248","19","6058","9837","14","46","1","12","3","708","2","2","150","1","6520","11801","21","53","25","1","86","35","22","785","2383","3","11","1","22","2","220","1","0","4","1949","92","517","55","0","298","188","0","31","0","8","0","74","0","0","0","0","0","14","0","0","0","0"
"L4845","engine","org.junit.jupiter.engine","L1192","L103","0.100718","35","87","87","0","0","0","0","0.545455","0.178367","747","6","5","0.395939","0.209466","3036","78","119","3441","4905","55","102","0","12","3","382","5","5","62","0","11458","17664","238","369","35","0","147","110","14","1342","3321","8","57","0","3","10","325","7","0","4","4578","326","866","30","0","722","154","0","47","0","112","0","138","0","0","0","0","0","23","0","0","0","0"
"L11361","migrationsupport","org.junit.jupiter.migrationsupport","L1192","L103","0.0163657","1","3","3","0","0","0","0","1","0.666667","24","1","0","0.285714","0.300676","445","14","35","12","40","0","1","0","0","0","0","0","1","0","0","1035","1837","57","49","24","0","33","13","2","116","198","12","21","0","2","3","34","0","0","1","494","15","100","0","0","55","25","0","7","0","3","0","1","0","0","0","0","0","25","0","0","0","0"
"L11959","params","org.junit.jupiter.params","L1192","L103","0","0","0","0","0","0","0","0","1","0.235561","208","2","0","0.892857","0.314117","959","25","3","675","1036","8","20","0","14","0","80","0","3","23","0","2094","3672","39","47","25","3","45","14","5","256","492","10","5","1","4","3","54","0","0","2","637","29","143","5","0","112","37","0","6","0","4","0","14","0","0","0","0","0","1","0","0","0","0"
"L13418","extensions","org.junit.jupiter.extensions","L1192","L103","0","0","0","0","0","0","0","0","0.2","0.12766","12","1","4","0.2","0.12766","12","1","4","82","113","1","2","0","1","0","10","0","0","5","0","82","113","1","2","14","0","1","1","0","10","21","0","1","0","0","0","5","0","0","0","31","0","1","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L13491","commons","org.junit.platform.commons","L13488","L103","0.0372642","4","20","9","0","0","0","0","0.333333","0.631579","24","1","2","0.837037","0.297392","1950","113","22","14","49","1","1","0","0","0","2","0","4","2","0","4607","7823","72","118","28","2","43","57","20","602","1469","12","22","2","1","4","174","0","0","12","1598","162","486","48","0","371","76","0","105","0","64","0","44","0","0","0","0","0","0","0","0","0","0"
"L16621","console","org.junit.platform.console","L13488","L103","0.0904598","13","38","32","0","0","0","0","0.285714","0.171073","110","2","5","0.120482","0.180049","814","10","73","533","770","23","12","0","18","0","62","0","3","27","0","3707","5429","158","50","27","3","46","61","1","411","1267","15","7","2","1","3","146","25","0","3","1529","92","302","12","0","220","84","0","47","0","8","0","37","0","0","0","1","0","0","0","0","0","0"
"L19133","engine","org.junit.platform.engine","L13488","L103","0.146957","26","85","67","0","0","0","0","0.892157","0.520522","1116","91","11","0.579075","0.394221","3138","238","173","1028","2514","43","20","2","39","11","160","8","4","101","1","4822","9537","143","89","40","3","92","127","20","677","1657","19","45","3","18","8","383","5","0","1","1732","133","367","79","0","273","76","0","89","0","14","0","49","0","0","0","0","0","0","0","0","0","0"
"L21739","launcher","org.junit.platform.launcher","L13488","L103","0.0458208","5","10","10","0","0","0","0","0.78125","0.52819","712","50","14","0.760684","0.346154","1350","89","28","636","1554","26","19","1","18","4","83","2","3","57","0","2550","4642","83","59","26","1","39","76","6","300","847","4","14","0","6","3","160","0","0","1","828","41","154","18","0","97","41","0","21","0","12","0","25","0","0","0","0","0","0","0","0","0","0"
"L23129","runner","org.junit.platform.runner","L13488","L103","0.13708","6","14","14","0","0","0","0","0.2","0.104021","119","1","4","0.2","0.104021","119","1","4","1025","1428","12","34","0","22","0","103","0","0","22","0","1025","1428","12","34","22","0","6","22","0","103","416","0","1","0","0","0","22","0","0","0","503","49","25","3","0","21","13","0","27","0","0","0","13","0","0","0","0","0","0","0","0","0","0"
"L23635","suite","org.junit.platform.suite","L13488","L103","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0.625251","312","11","0","0","0","0","0","0","0","0","0","0","1","0","0","187","587","0","0","15","0","12","0","0","10","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L23679","surefire","org.junit.platform.surefire","L13488","L103","0.0543956","2","5","5","0.0452261","0.0495868","63","48","0","0","0","0","0","0.4","0.152364","174","2","3","0","0","0","0","0","0","0","0","0","1","0","0","968","1393","19","27","22","0","8","10","0","109","376","0","2","0","0","1","13","1","0","2","334","56","78","3","0","67","17","0","33","0","14","0","5","0","0","0","0","0","0","0","0","0","0"
"L24106","engine","org.junit.vintage.engine","L24105","L103","0.0608123","9","21","21","0","0","0","0","0.2","0.207364","321","6","24","0.353383","0.279372","1246","47","86","1227","1700","7","13","0","7","0","110","0","5","33","0","3214","5318","64","96","30","0","82","19","5","327","928","7","57","0","4","7","119","0","0","0","988","65","163","6","0","112","59","0","39","0","5","0","13","0","0","0","0","0","0","0","0","0","0"
"L25736","tools","org.junit.api.tools","L25735","L103","0","0","0","0","0","0","0","0","0","0.302387","114","0","0","0","0.302387","114","0","0","263","468","7","6","0","3","1","43","0","0","5","0","263","468","7","6","14","0","7","3","1","43","75","0","0","0","0","0","5","0","0","1","89","1","13","0","0","1","11","0","0","0","0","0","1","0","0","0","0","0","2","0","0","0","0"
"L3250","extension","org.junit.jupiter.api.extension","L1201","L103","0.0205993","1","3","1","0","0","0","0","0.824176","0.717518","1110","75","16","0.824176","0.717518","1110","75","16","437","1804","7","7","0","23","16","74","1","0","67","0","437","1804","7","7","24","0","24","23","16","74","51","1","6","0","16","0","67","0","0","0","87","7","14","7","0","1","3","0","8","0","8","0","1","0","0","0","0","0","0","0","0","0","0"
"L3719","function","org.junit.jupiter.api.function","L1201","L103","0","0","0","0","0","0","0","0","0.833333","0.817518","112","5","1","0.833333","0.817518","112","5","1","25","160","0","0","0","0","3","3","0","0","3","0","25","160","0","0","15","0","4","0","3","3","0","0","0","0","3","0","3","0","0","0","3","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
